id,value,color
Madison,
Madison.Deep & Machine Learning,
Madison.Deep & Machine Learning.PyTorch,4,#20206b
Madison.Deep & Machine Learning.scikit-learn,2.5,#7fcdbb
Madison.Deep & Machine Learning.Calculus,3.5,#2c7fb8
Madison.Deep & Machine Learning.Statistics,2.5,#7fcdbb
Madison.Data Wrangling,
Madison.Data Wrangling.pandas,4,#41b6c4
Madison.Data Wrangling.BigData,
Madison.Data Wrangling.BigData.dask,3,#41b6c4
Madison.Data Wrangling.BigData.T-SQL,3.5,#2c7fb8
Madison.Data Visualization & Communication,
Madison.Data Visualization & Communication.seaborn,2.5,#7fcdbb
Madison.Data Visualization & Communication.matplotlib,2,#c7e9b4
Madison.Data Visualization & Communication.Tableau,2,#c7e9b4
Madison.Data Visualization & Communication.Bokeh,1.5,#c7e9b4
Madison.Cloud Computing,
Madison.Cloud Computing.AWS,1.5,#c7e9b4
Madison.Cloud Computing.GCP / Colab,1,#ffffcc
Madison.Version Control,
Madison.Version Control.Git / GitHub,3,#41b6c4
